"Step","worthy-wind-9 - Reward","clear-durian-8 - Reward","LunarLander-1 - Reward"
"388","-60.25698784641041","-814.3508868238794","4.922413189267674"
"389","-19.245972011046884","-734.9667650693248","171.02239580788302"
"390","-50.46800637976639","-490.85339140105447","-35.9936675535251"
"391","-28.9327726145071","-507.4625906669949","-5.794972012663628"
"392","-32.401893128258145","-605.4133957842948","-22.174357489518833"
"393","-52.65914947082675","-591.2860794817226","-2.470431182419912"
"394","-61.3829648406038","-742.4725964501757","158.4191606794114"
"395","-76.02055687828876","-589.8932590051209","-8.130240542634645"
"396","-58.002162582521336","-556.2724223505963","-17.54650314201965"
"397","-48.31450851580901","-676.220058886519","-22.84119980301641"
"398","-64.77576353717805","-597.3010675454013","35.39961473196922"
"399","-28.060973543348585","-882.2993888211636","-4.080508722209659"
"400","-40.34413431995646","-514.2310890575891","74.67570302216036"
"401","-30.461077446865637","-452.5284941939874","227.0928728462498"
"402","-15.383421732149625","-687.3963128479048","-71.92399187779566"
"403","-57.6742779606214","-531.0511809778992","-9.055565588041008"
"404","-40.31607725265238","-631.3027474426835","10.554945258987885"
"405","-50.23297935139562","-474.6979405497094","17.859156309773464"
"406","-64.81309502295998","-632.5016064511909","-5.229961557666251"
"407","-52.55246585968658","-552.8311864403436","210.44131528475043"
"408","-16.371623587242606","-553.7656662205573","-56.18393117976357"
"409","-26.00824344626847","-443.50412109454305","-41.02492603294875"
"410","-15.401705654767309","-634.1252053665046","-16.450680025104752"
"411","-63.728907543116485","-699.7770812405283","34.45475416144776"
"412","-41.881864685363894","-451.0461702646835","-59.93996776464613"
"413","-41.09737453853849","-458.71534281798904","268.4635738521242"
"414","-59.999356648005765","-946.1522767086775","-23.02921881344588"
"415","-3.594949434811869","-492.6593080752948","169.09469909570123"
"416","-22.35083026836393","-486.8851147090147","162.81067860794448"
"417","-45.55506573682645","-818.344753984829","-7.350571280645257"
"418","-81.00918026541397","-570.9753355856159","142.17130967547868"
"419","-55.250245684011695","-303.9600422892337","-31.871106695545443"
"420","-33.986907782662264","-113.85161866962423","204.41891837711805"
"421","-25.02328069601059","-210.32344956289566","71.9546996865765"
"422","228.31097327499486","-154.8443696622453","155.12459732437298"
"423","21.733155579069734","-208.40587258163487","221.0770969359061"
"424","166.36645116975808","-112.32256961213756","-32.1687975583352"
"425","-62.54952646128077","-28.88517439999103","145.00713240729232"
"426","-14.271312259178249","-129.9568463546012","-52.89741828481915"
"427","193.9066260834591","-116.2795905859229","235.7076070596775"
"428","190.7631959959968","-136.4867534456679","-12.931283557817892"
"429","152.42420323329213","-138.28853658230014","-41.0092151282292"
"430","114.70363814453484","-149.62025970033255","8.285515228556235"
"431","-32.9272127957748","-149.31537991157413","3.290437450451279"
"432","123.62706495393863","-110.68843069241217","-0.17469413784847632"
"433","136.39961879547496","-153.83739892396","-42.83861928023374"
"434","238.53525939888019","-134.88927032865956","-17.954881333535795"
"435","24.460090245361258","-215.5546206813955","-18.926505858347184"
"436","-136.95148770331173","-131.9227293116401","10.956282809149414"
"437","91.6899115888946","-167.67577133469942","-6.140864761719513"
"438","-36.420992483539905","-91.58870668456491","19.467534227394935"
"439","10.789953086596682","-7.701466230348117","34.01573742170001"
"440","-7.589530789759531","-134.51677002698273","-64.41272847018995"
"441","300.373337509498","-44.709507326935395","-48.50950260871421"
"442","-169.13265672531182","-181.3182738310307","-65.70721474585872"
"443","-28.61881416216232","-100.9871068978708","-68.79554058159991"
"444","-85.54373948321744","13.401723039821448","-50.3787254748126"
"445","165.6738807622475","-135.0404635501491","-107.66294654736176"
"446","-17.787023047549923","-121.23449038300085","-31.998788090204357"
"447","-44.75381906872528","-144.22263804341407","-63.17190504142027"
"448","235.57137226008422","-61.687105067450624","-49.16769945487362"
"449","-48.169153977339775","-132.3844649799394","-64.17834698085768"
