"Step","distinctive-hill-4 - Reward","gentle-elevator-3 - Reward","different-firefly-2 - Reward"
"111","-779.9118854330351","-630.8491075681764","-618.176964256477"
"112","-370.85659964088126","-630.1590603503691","-740.3489744566169"
"113","-498.3240668645451","-745.2222333483546","-501.655361908556"
"114","-495.5305294109646","-632.1461223950423","-503.69975756244014"
"115","-495.8137388948931","-713.3129274114458","-383.5883652830756"
"116","-379.18858382464873","-850.0498123503323","-617.8195684458378"
"117","-246.60244453302647","-898.3920108923751","-725.7122690739051"
"118","-127.36901447774515","-880.7778402058325","-505.7342645015156"
"119","-496.11654924972146","-630.7992356393751","-256.3387894950304"
"120","-818.4625298629466","-627.8254476011572","-504.5648311223169"
"121","-128.16040963111217","-628.7111178564513","-506.0958870370358"
"122","-500.4972235391573","-760.7869994141167","-688.6888816782961"
"123","-368.7889460418552","-756.0634409661885","-501.8785406737819"
"124","-4.123982556288994","-532.751966168271","-505.91395562641907"
"125","-130.285061604441","-629.8181023679791","-743.8910831256695"
"126","-127.44992278124855","-727.9248832058818","-506.68835898372834"
"127","-704.0209220386806","-513.9131590730371","-521.1568688263317"
"128","-371.58465379028115","-745.9638926596058","-388.1566371196859"
"129","-126.24481231769204","-581.7428801544935","-626.2999528327326"
"130","-499.5563756387748","-507.8744560542396","-744.2392369989179"
"131","-510.4935298288138","-741.6247165245802","-590.6597279956263"
"132","-517.0293650623928","-747.9219618421271","-741.5548052733326"
"133","-3.053966945930094","-734.8424550461597","-593.4836358307125"
"134","-246.23027632634142","-505.57261512747937","-380.6870856738731"
"135","-5.5143908403169695","-252.28839977029534","-755.0853921623545"
"136","-771.6121696123007","-369.216354283389","-754.6482321647215"
"137","-775.8594607463924","-485.2686048787671","-725.9204883316273"
"138","-992.9202205668672","-502.27725680047814","-500.2970624880725"
"139","-872.0168937117568","-715.1087590148088","-724.0188023672675"
"140","-251.9545326620248","-738.5586860030983","-740.7420062988649"
"141","-373.9701852438977","-497.54513641549426","-510.54384670752546"
"142","-130.1061470117315","-501.9153600035508","-742.4689378867871"
"143","-383.0728199597281","-482.1846124587627","-765.4667523082695"
"144","-877.9605353125075","-255.23601705467587","-501.28542466343737"
"145","-125.86250834017832","-380.55481268711355","-1002.4801770986641"
"146","-248.93158219377045","-380.31662374672436","-763.06266781101"
"147","-365.8973088051606","-376.99593378809584","-870.831945685353"
"148","-488.451222818248","-609.0215479130525","-703.5946525548594"
"149","-375.84739894375787","-128.43098730449802","-769.3442444752812"
"150","-1.6405792684104108","-570.5622080678031","-875.6150503105503"
"151","-369.58105485323637","-128.22047407675439","-746.302004180539"
"152","-753.3105806932209","-497.67908760156007","-848.8512132088528"
"153","-127.52568117757139","-249.15289455448544","-623.43173325632"
"154","-689.3974463744178","-127.613903992894","-358.6589280020239"
"155","-366.8047954470363","-2.1746109735538033","-871.5932355847069"
"156","-246.06576043562822","-244.24968428097577","-511.45031908497776"
"157","-127.31660796967752","-244.2917503732065","-857.9146390771301"
"158","-488.29760000483714","-127.04638142137861","-875.4510803870846"
"159","-127.22268097765445","-127.71096352623637","-881.7624568519443"
"160","-494.36634168882375","-244.45262861103635","-809.7516177017757"
"161","-382.39712211760076","-361.2800033888769","-908.4122808353352"
"162","-639.0904597430848","-246.457777127788","-1028.5190874103787"
"163","-123.91200098632223","-124.51245784370175","-878.9751158575763"
"164","-126.60000074907356","-124.02893728433646","-670.7855462587232"
"165","-247.92410485708828","-127.80444858005406","-1011.4968306587824"
"166","-123.8354119445842","-772.5475085108203","-902.7104007623808"
"167","-127.69678924765138","-250.34490957101673","-775.9727927530975"
"168","-360.31058015005226","-123.9727434276785","-991.8251816520441"
"169","-127.82498664845247","-364.9506950162843","-512.1098284842739"
"170","-1.8933979828898588","-246.21496868021237","-1001.869722492"
"171","-545.9210175715328","-363.5258360378142","-1006.6113155109227"
"172","-128.5242208501573","-723.5725349381087","-1097.02983129944"
"173","-359.51421456382366","-364.87254428977496","-787.2752406480375"
"174","-126.78445560703422","-1308.8894129590974","-1011.4989906931795"
"175","-541.67372591121","-1.0028825228582026","-1005.9540972055559"
"176","-493.7980393633462","-918.1006745305118","-1020.3326401681294"
"177","-1.0789737318074064","-1732.7255321219754","-1036.7150574346115"
"178","-612.1588178287927","-1135.5252260879263","-1012.4945781969345"
"179","-125.8525026949102","-235.1734412310436","-1026.8287424187897"
"180","-121.78765658566633","-610.4207847025076","-1018.3569890031512"
"181","-121.5912384661951","-939.5156318208992","-1029.358751109285"
"182","-125.0029291996708","-987.5796452282589","-776.4680540723322"
"183","-614.145760115657","-934.7835973722363","-1052.2884270265333"
"184","-246.66769476299706","-118.97777885985995","-896.8803569828824"
"185","-125.32078553488462","-931.110706873264","-1001.3695580312467"
"186","-126.02441342323962","-891.8602043684","-902.6141531374911"
"187","-123.14742549793891","-0.4012107991134946","-1028.7541812722511"
"188","-627.5252806845468","-0.5432344714607146","-987.7368766164466"
"189","-480.29428089398897","-0.3561983269047018","-1036.08898437535"
"190","-383.34380467609583","-0.24450276518238717","-907.445212975036"
"191","-243.45221267084827","-126.21167534074766","-1002.2472826453231"
"192","-504.72742892766985","-126.03234018143127","-1035.9078808714655"
"193","-0.5115398278926065","-360.5906868689056","-960.5018986280361"
"194","-510.04276732410307","-380.8943753917122","-1025.6365511308807"
"195","-248.34102710870053","-491.21651206980636","-1038.0441675426935"
"196","-120.21063081792218","-254.85443282149933","-991.7366348400476"
"197","-123.86507377636339","-650.80290151881","-934.6932209629218"
"198","-367.68408038694673","-126.38537065810877","-1015.3105437747133"
"199","-620.6265141649352","-615.7467062862117","-1007.812899989842"
